Author/date,Muscle,Ext/Flex,Upper/lower,Subgroup,%MVC,Young age mean,Elderly age mean,Ne,Nc,Me,Se,Mc,Sc
Dalton et al. (2009),Soleus,Extensor,Lower,(1) Lower-body extensors muscles,Pooled,23.5,75.3,6,6,13,3.6,12,3.6
Kallio et al. (2010),Soleus,Extensor,Lower,(1) Lower-body extensors muscles,Pooled,27.3,70.4,10,13,29,12.5,25,18
Kamen et al. (2004),Vastus lateralis,Extensor,Lower,(1) Lower-body extensors muscles,Pooled,21,77,8,7,17.1,,13.4,
Kirk et al. (2016),Gastrocnemius,Extensor,Lower,(1) Lower-body extensors muscles,Pooled,27,81,10,10,15.3,6.2,14.4,6.7
Mota et al. (2020),Vastus lateralis,Extensor,Lower,(1) Lower-body extensors muscles,50%,25,75,12,12,13.7,3.1,13.6,2.5
Piasecki et al. (2016),Vastus lateralis,Extensor,Lower,(1) Lower-body extensors muscles,25%,25.3,71.4,22,20,9.6,2.3,8.8,2.3
Roos et al. (1999),Vastus medialis,Extensor,Lower,(1) Lower-body extensors muscles,Pooled,26.2,80,13,12,15.4,5,15.5,4.3
Christie et al. (2009),Tibialis Anterior,Flexor,Lower,(2) Lower-body flexors muscles,50%,23.9,75.6,8,8,15.5,6,14.5,2
Christie et al. (2010),Tibialis Anterior,Flexor,Lower,(2) Lower-body flexors muscles,100%,21.9,72.9,30,30,33.9,7.1,28.3,5.8
Connelly et al. (2000),Tibialis Anterior,Flexor,Lower,(2) Lower-body flexors muscles,Pooled,20.8,82,6,6,23.9,5.7,17.9,5.4
Kirk et al. (2018),Hamstrings,Flexor,Lower,(2) Lower-body flexors muscles,Pooled,26,80,11,10,19.7,7.4,12.8,4.4
Kwon et al. (2018),Tibialis Anterior,Flexor,Lower,(2) Lower-body flexors muscles,15%,22.6,74.1,11,12,14.9,3,12.2,2.8
Patten et al. (2000),Tibialis Anterior,Flexor,Lower,(2) Lower-body flexors muscles,Pooled,19.2,70.3,6,6,22.4,2.7,19.3,3.2
Rubinstein et al. (2005),Tibialis Anterior,Flexor,Lower,(2) Lower-body flexors muscles,100%,19.2,73.1,11,8,28.2,5.8,22.3,4.8
Dalton et al. (2010),Biceps and Triceps Brachii,Extensor,Upper,(3) Upper-body muscles,Pooled,24,83,6,6,23.88,0.96,18.1,0.75
Erim et al. (1999),First dorsal interosseous,Other,Upper,(3) Upper-body muscles,Pooled,30.2,76.9,10,10,22.2,3.6,18.6,4.4
Feeney et al. (2018),Extensor digitorum,Other,Upper,(3) Upper-body muscles,Pooled,25,78,13,12,13.9,1.5,14.1,1.8
Kamen et al. (1995),First dorsal interosseous,Other,Upper,(3) Upper-body muscles,Pooled,27,76,7,7,37.6,13.9,26,9.1
Kamen et al. (2000),First dorsal interosseous,Other,Upper,(3) Upper-body muscles,Pooled,27.7,74.9,7,8,25.3,5.1,23,2.8
Kirk et al. (2019),sup. trap.,Other,Upper,(3) Upper-body muscles,Pooled,26,83,10,10,31.5,5.2,19.2,3.6
Laidlaw et al. (2000),First dorsal interosseous,Other,Upper,(3) Upper-body muscles,Pooled,26.6,73.4,8,14,11.4,1.9,12.2,3.8
Nelson et al. (1983),ADM,Other,Upper,(3) Upper-body muscles,Pooled,29.6,83.5,13,32,12.7,3.2,11.4,0.2
Patten et al. (2001),ADM,Other,Upper,(3) Upper-body muscles,100%,23.2,75.8,6,6,54,18.5,45.2,17.9
Pereira et al. (2019),Biceps Brachii,Flexor,Upper,(3) Upper-body muscles,5%,21.9,67.7,49,34,11.4,1.9,11.2,1.8
Vaillancourt et al. (2003),First dorsal interosseous,Other,Upper,(3) Upper-body muscles,Pooled,22,82,10,20,10.9,1.8,11.5,0.4